2026-06-04 05:42:20 startup archives unpack
2026-06-04 05:42:20 install efibootmgr:amd64 <none> 18-4ubuntu1
2026-06-04 05:42:20 status half-installed efibootmgr:amd64 18-4ubuntu1
2026-06-04 05:42:20 status triggers-pending man-db:amd64 2.13.1-1build1
2026-06-04 05:42:20 status unpacked efibootmgr:amd64 18-4ubuntu1
2026-06-04 05:42:20 install grub-efi-amd64-unsigned:amd64 <none> 2.14-2ubuntu1
2026-06-04 05:42:20 status half-installed grub-efi-amd64-unsigned:amd64 2.14-2ubuntu1
2026-06-04 05:42:20 status unpacked grub-efi-amd64-unsigned:amd64 2.14-2ubuntu1
2026-06-04 05:42:20 install grub-efi-amd64-bin:amd64 <none> 2.14-2ubuntu1
2026-06-04 05:42:20 status half-installed grub-efi-amd64-bin:amd64 2.14-2ubuntu1
2026-06-04 05:42:21 status unpacked grub-efi-amd64-bin:amd64 2.14-2ubuntu1
2026-06-04 05:42:21 install grub-efi-amd64-signed:amd64 <none> 1.215+2.14-2ubuntu1
2026-06-04 05:42:21 status half-installed grub-efi-amd64-signed:amd64 1.215+2.14-2ubuntu1
2026-06-04 05:42:21 status unpacked grub-efi-amd64-signed:amd64 1.215+2.14-2ubuntu1
2026-06-04 05:42:21 install mokutil:amd64 <none> 0.7.2-2
2026-06-04 05:42:21 status half-installed mokutil:amd64 0.7.2-2
2026-06-04 05:42:21 status unpacked mokutil:amd64 0.7.2-2
2026-06-04 05:42:21 install shim-signed:amd64 <none> 1.59+15.8-0ubuntu2
2026-06-04 05:42:21 status half-installed shim-signed:amd64 1.59+15.8-0ubuntu2
2026-06-04 05:42:21 status unpacked shim-signed:amd64 1.59+15.8-0ubuntu2
2026-06-04 05:42:21 startup packages configure
2026-06-04 05:42:21 configure efibootmgr:amd64 18-4ubuntu1 <none>
2026-06-04 05:42:21 status unpacked efibootmgr:amd64 18-4ubuntu1
2026-06-04 05:42:21 status half-configured efibootmgr:amd64 18-4ubuntu1
2026-06-04 05:42:21 status installed efibootmgr:amd64 18-4ubuntu1
2026-06-04 05:42:21 configure mokutil:amd64 0.7.2-2 <none>
2026-06-04 05:42:21 status unpacked mokutil:amd64 0.7.2-2
2026-06-04 05:42:21 status half-configured mokutil:amd64 0.7.2-2
2026-06-04 05:42:21 status installed mokutil:amd64 0.7.2-2
2026-06-04 05:42:21 configure grub-efi-amd64-unsigned:amd64 2.14-2ubuntu1 <none>
2026-06-04 05:42:21 status unpacked grub-efi-amd64-unsigned:amd64 2.14-2ubuntu1
2026-06-04 05:42:21 status half-configured grub-efi-amd64-unsigned:amd64 2.14-2ubuntu1
2026-06-04 05:42:21 status installed grub-efi-amd64-unsigned:amd64 2.14-2ubuntu1
2026-06-04 05:42:21 configure grub-efi-amd64-bin:amd64 2.14-2ubuntu1 <none>
2026-06-04 05:42:21 status unpacked grub-efi-amd64-bin:amd64 2.14-2ubuntu1
